likecount,commentcount,repostcount,total engagements,conversion,spend,impressions,face area percentage %,number of objects,primary object area percentage %,secondary object area percentage %,text length,logo 1 area percentage %,logo 2 area percentage %,number of persons,person area,text area %,sentiment_score_vader,time_minutes,day_numeric,width,height,language_map,type_mapped,company_map,topic_map,objects,primary object,secondary object,text,dominant colour,logos,logo 1 name,person area %,style,tone,voice,sentiment,empty space %
285.56747,1.8193871,17.721773,322.17346,33.786526,4.17,4814,0.430555556,5.0,13.77798446,10.32695352,7.0,0.0,0.0,2.0,34.25822612,0.148220486,0.296,416,5,640,360,1,3,7,1,33,12,5,79,12,0,0,1,0,0,0,0,3
119.00862,0.98501974,8.890573,181.4661,33.458656,27.05,1514,4.493489583,3.0,50.91569982,1.404821254,104.0,1.032986111,0.495117188,1.0,50.91569982,7.490234375,0.7615,427,5,1280,720,1,3,1,8,15,12,10,32,25,13,10,1,0,0,0,0,1
28.809572,2.174503,1.0658841,46.703888,13.397836,5.23,317,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.411388889,0.0,416,5,800,450,1,7,2,4,0,0,0,81,1,0,0,0,0,0,0,0,3
-6.976988,0.2949131,-1.849668,-35.675472,-0.23258229,0.88,100,0.321111111,4.0,6.003547462,5.941241852,20.0,11.02,0.0,2.0,11.94478931,10.61833333,0.4767,416,5,800,450,1,7,2,9,58,12,18,40,1,5,5,2,0,0,0,0,3
38.59453,2.2828062,10.677156,47.218212,8.682621,0.44,321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6249,427,5,100,100,1,2,4,1,0,0,0,2,0,0,0,0,1,1,2,2,3
35.12985,2.8217907,12.078213,95.02622,8.8705435,10.75,544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7579,427,5,100,100,1,2,5,1,0,0,0,2,0,0,0,0,0,0,0,0,3
329.4204,9.277094,25.311798,522.79004,105.02881,153.06,7196,0.0,0.0,0.0,0.0,8.0,3.605555556,0.0,0.0,0.0,2.415833333,0.8316,440,5,600,600,1,3,8,3,0,0,0,27,4,3,3,0,0,0,0,0,3
426.86993,6.522866,29.694695,339.03302,69.295845,120.54,8445,0.0,0.0,0.0,0.0,124.0,80.35847398,0.0,0.0,0.0,8.296853024,0.8934,440,5,800,1422,1,1,6,2,0,0,0,16,30,4,4,0,0,0,0,0,0
108.48149,4.8065743,20.651196,147.3636,5.6277657,42.05,3216,0.0,1.0,73.40530401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5093,416,5,800,450,1,1,7,2,6,4,0,2,9,0,0,3,0,0,0,0,1
-0.6265458,1.4636402,3.2233682,14.078206,11.577257,4.19,211,0.0,1.0,94.26633185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7579,440,5,800,418,1,1,4,1,74,19,0,2,1,0,0,3,0,0,0,0,2
0.5231375,0.3327563,-0.8846601,99.40521,15.6126795,1.61,67,9.1884375,3.0,45.52003383,36.79837698,37.0,0.0,0.0,1.0,45.52003383,5.228125,0.9545,440,5,800,800,1,7,6,5,65,12,26,62,23,0,0,1,0,0,0,0,0
123.577,0.410183,-1.9774988,186.77298,30.894722,25.38,1536,0.407440476,10.0,9.231263185,8.204650403,25.0,0.784226191,0.0,10.0,82.10273814,0.771726191,0.9065,440,5,800,420,1,1,1,2,57,12,18,34,8,10,10,1,1,2,1,2,3
15.01087,3.6099753,5.668742,114.0382,1.7741903,18.95,807,0.0,1.0,20.98307867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6988,440,5,1280,422,1,7,4,1,24,9,0,2,5,0,0,3,0,0,0,0,3
34.59573,1.1494253,-2.1958482,-15.331851,22.976698,0.36,38,0.0,2.0,44.48533382,2.816842253,0.0,0.0,0.0,0.0,0.0,0.0,0.9804,440,5,1280,720,1,3,1,8,70,16,9,2,8,0,0,3,0,0,0,0,3
-20.41101,0.5156644,0.7270627,12.394345,18.528429,9.51,458,4.857600733,4.0,42.30481054,26.96843945,51.0,0.0,0.0,2.0,46.98240181,1.533882784,0.5983,440,5,624,350,1,3,3,6,16,12,26,1,18,0,0,1,0,0,0,0,1
33.283752,2.49811,5.784742,48.17075,16.390224,1.63,323,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,25.20052083,0.4003,440,5,640,360,1,3,3,6,0,0,0,75,2,0,0,0,0,0,0,0,3
45.94308,-0.6755294,3.885797,52.98022,25.044872,2.21,267,7.0125,3.0,53.89283979,28.94507115,218.0,0.0,0.0,1.0,53.89283979,8.144940476,0.7003,440,5,800,420,1,1,1,3,61,12,21,0,1,0,0,1,0,0,0,0,2
42.83042,0.71704006,0.30638418,41.582214,14.611014,0.99,90,1.168062201,3.0,17.0405628,2.146240984,257.0,1.238636364,0.0,3.0,20.34777073,9.582834928,0.9042,440,5,800,418,1,1,1,2,49,12,18,43,8,10,10,2,1,1,1,2,3
119.02385,4.5521264,13.692908,167.94221,31.955345,3.7,1782,9.125385802,6.0,74.87637074,2.241070815,31.0,0.0,0.0,3.0,78.20565808,6.008873457,-0.0772,440,5,720,720,1,3,4,3,47,12,18,7,18,0,0,1,0,0,0,0,0
25.432447,-0.6155158,0.034159012,18.38101,0.97251743,0.71,137,0.466507177,4.0,7.716889276,3.962372242,81.0,1.381578947,0.0,3.0,23.94408533,5.287679426,0.0,440,5,800,418,1,1,2,1,62,12,23,72,8,17,14,2,0,0,0,0,3
42.51793,2.7323608,12.461748,7.2077384,15.974271,1.4,722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8779,440,5,100,100,1,3,3,6,0,0,0,2,0,0,0,0,0,0,0,0,3
38.26032,4.7725344,10.44489,44.07504,11.972589,3.47,455,0.0,0.0,0.0,0.0,0.0,75.25,0.0,0.0,0.0,0.0,0.9136,440,5,640,360,1,3,3,9,0,0,0,2,13,6,6,0,0,0,0,0,1
-13.575002,0.87751704,2.2802129,2.8889523,11.74498,5.08,308,3.154304029,4.0,33.83395026,23.45246282,1.0,0.0,0.0,1.0,33.83395026,0.897435897,0.9143,440,5,624,350,1,3,3,6,60,12,26,51,4,0,0,1,0,0,0,0,3
11.210936,3.7092235,9.772221,95.60928,25.088184,28.18,1354,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,5.164930556,0.0,440,5,736,720,1,3,5,6,0,0,0,41,1,0,0,0,1,1,1,2,3
29.569061,-0.5591892,-1.319524,-26.704266,4.746581,0.21,11,21.36,3.0,84.01252494,4.657638313,0.0,0.0,0.0,1.0,84.01252494,0.0,0.0,440,5,750,800,0,7,3,4,15,12,10,2,8,0,0,1,0,0,0,0,0
28.89192,2.3848398,13.865199,102.529305,11.099583,17.53,775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6792,440,5,100,100,1,2,5,1,0,0,0,2,0,0,0,0,0,0,0,0,3
58.321384,-0.28210425,-2.6245744,42.368336,25.430876,8.87,518,2.002721617,10.0,31.92377307,24.01303467,2.0,0.0,0.0,9.0,107.5590162,1.078926905,0.9432,440,5,800,643,1,1,1,2,56,12,18,8,23,0,0,1,0,0,0,0,3
57.323524,2.461313,4.0608177,28.96042,4.9299593,0.75,39,0.0,1.0,2.673243196,0.0,1.0,0.0,0.0,0.0,0.0,0.53125,0.502,396,5,640,360,1,3,3,3,2,2,0,48,2,0,0,3,0,0,0,0,3
